TRANSFORMED WDR,WDR Depth,CHANGES IN RAIN,AVERAGE WIND DIRECTION,Wind Speed Max * Changes in Rain,Wind Speed Average * Changes in Rain,MAX WIND SPEED,AVERAGE WIND SPEED,Average Vertical Component of Wind Speed
0.2810333672,1.91,7.1,1.889816585,10.65,3.008630894,1.5,0.4237508302,0.4023697009
0.2810333672,1.91,12,2.298166347,15.6,7.967632692,1.3,0.663969391,0.4959357868
0.2810333672,1.91,11.4,3.260648727,22.8,8.286475991,2,0.7268838589,-0.0863356417
0.2455126678,1.76,6.1,2.229770732,5.49,1.976666184,0.9,0.3240436367,0.2561955827
0.2455126678,1.76,6.4,2.641485843,10.24,7.217227328,1.6,1.12769177,0.5407499354
0.2455126678,1.76,10.4,3.265479915,20.8,4.951545134,2,0.476110109,-0.05883321174
0.206825876,1.61,6.1,2.346568922,9.76,7.257447318,1.6,1.189745462,0.8493357564
0.206825876,1.61,8.6,2.988487095,17.2,6.133714584,2,0.7132226261,0.1087722229
0.1414497734,1.385,1,0.9650178638,3,1.288917398,3,1.288917398,1.059566261
0.1172712957,1.31,0.5,0.7628569886,2.6,2.021113706,5.2,4.042227411,2.793136612
0.06445798923,1.16,9.7,3.014701757,9.7,3.227085867,1,0.3326892646,0.04210204354
0.06445798923,1.16,1.5,2.303834613,1.35,0.45,0.9,0.3,0.2229434476
0.004321373783,1.01,4.6,1.588249619,1.38,0.46,0.3,0.1,0.09998476952
0.004321373783,1.01,7.4,2.979172071,10.36,7.372399474,1.4,0.9962701992,0.1611042663
0.004321373783,1.01,0.8,0.8954574718,4.16,1.939608582,5.2,2.424510727,1.89231888
-0.06550154876,0.86,8.1,1.387536755,0.81,0.5365288021,0.1,0.06623812371,0.0651289602
-0.06550154876,0.86,0.6,2.486572662,0.6,0.3395485622,1,0.5659142704,0.3447408808
-0.06550154876,0.86,0.5,1.291543646,0.05,0.01666666667,0.1,0.03333333333,0.03204205652
-0.3872161433,0.41,0.5,2.201362517,0.45,0.1016257152,0.9,0.2032514304,0.1641649224
-0.3872161433,0.41,0.3,2.600465981,0.21,0.09968045226,0.7,0.3322681742,0.1711520084
-0.3872161433,0.41,6.7,2.394653817,2.68,1.114464812,0.4,0.1663380317,0.1130093519
-0.251811973,0.56,0.5,2.181661565,0.15,0.05,0.3,0.1,0.08191520443
-0.251811973,0.56,0.6,2.181661565,0.18,0.06,0.3,0.1,0.08191520443
-0.251811973,0.56,0.5,1.970717224,0.15,0.06185988275,0.3,0.1237197655,0.1139572609
-0.251811973,0.56,1.2,4.694935688,1.32,0.4400000002,1.1,0.3666666668,-0.3666108217
-0.251811973,0.56,3.3,4.694935688,3.63,1.21,1.1,0.3666666668,-0.3666108217
-0.251811973,0.56,4.3,4.693190476,4.73,1.433357347,1.1,0.3333389179,-0.3332774883
-0.251811973,0.56,1.6,2.5424243,1.28,0.5987548496,0.8,0.374221781,0.2110445779
-0.251811973,0.56,4.8,1.387536755,0.48,0.3179429938,0.1,0.06623812371,0.0651289602
-0.251811973,0.56,0.5,2.161900784,0.35,0.2212851218,0.7,0.4425702435,0.3674774452
-0.251811973,0.56,0.2,2.063998912,0.2,0.1075530979,1,0.5377654897,0.4736751992
-0.3872161433,0.41,0.5,1.826348773,0.35,0.2197466248,0.7,0.4394932496,0.4252201772
-0.3872161433,0.41,2.8,1.881423548,1.12,0.4461570529,0.4,0.1593418046,0.1517160314
-0.3872161433,0.41,0.8,2.145650155,0.88,0.5814710437,1.1,0.7268388046,0.6100153022
-0.3872161433,0.41,7.4,3.067752643,4.44,2.22796177,0.6,0.3010759149,0.02221125199
-0.3872161433,0.41,7.8,2.985619954,6.24,4.192439226,0.8,0.5374922085,0.08349461184
-0.3872161433,0.41,7.6,3.254461377,6.84,5.507938325,0.9,0.724728727,-0.08162563873
-0.585026652,0.26,1.3,1.588249619,0.39,0.13,0.3,0.1,0.09998476952
-0.585026652,0.26,0.3,1.815142422,0.12,0.024,0.4,0.08,0.0776236581
-0.585026652,0.26,1,2.268928028,0.4,0.1333333333,0.4,0.1333333333,0.102139259
-0.585026652,0.26,6,2.537354642,1.2,0.5893053338,0.2,0.09821755564,0.05580084808
-0.7447274949,0.18,1.1,2.199114858,0.11,0.07221923522,0.1,0.0656538502,0.05311508054
-0.7447274949,0.18,1.8,2.024581932,0.72,0.2399999999,0.4,0.1333333333,0.1198392062
-0.7447274949,0.18,0.3,2.174377768,0.18,0.1235790601,0.6,0.4119302004,0.3391454674
-0.7447274949,0.18,0.6,2.02600967,0.36,0.2249492569,0.6,0.3749154281,0.3367367596
-0.7447274949,0.18,0.5,1.889911577,0.3,0.2329556521,0.6,0.4659113042,0.4423890076
-0.7447274949,0.18,0.3,2.421412077,0.3,0.1097296289,1,0.3657654296,0.2412297697
-1.045757491,0.09,0.5,2.268928028,0.2,0.06666666665,0.4,0.1333333333,0.102139259
-1.045757491,0.09,1.8,2.401927141,0.72,0.3535832003,0.4,0.1964351113,0.1324052924
-1.045757491,0.09,3.8,2.670353755,0.76,0.2533333333,0.2,0.06666666666,0.03026603335
-2,0,0.8,2.268928028,0.16,0.05333333334,0.2,0.06666666667,0.05106962953
-2,0,0,2.924213336,0,0,4.1,1.869771266,0.4032561106
-2,0,0.8,2.538328199,1.44,0.50304532,1.8,0.62880665,0.3567432226
-2,0,0.5,-1,0,0,0,0,0
-2,0,0.5,-1,0,0,0,0,0
-2,0,0,2.272668966,0,0,0.8,0.476506609,0.3638768669
-2,0,0.7,1.961285114,0.42,0.3179178314,0.6,0.4541683306,0.4199799548
-2,0,0.3,2.186592808,0.33,0.1686719328,1.1,0.5622397759,0.4589640043